"아이디","강의 아이디","강의 카테고리 아이디","강의 카테고리명","강의 명","비용","강의 구분","주차 사용 여부","분반 일련번호","수강신청 상태","강의 시작 일자","등록 일자","수강신청 시작 일자","수료증 로트 명","기관 아이디","기관명","기관 구","X좌표","Y좌표","추천여부","인기여부","신규여부","상태","강의 이미지 파일 경로","수집데이터 아이디","과목 아이디","미리보기 주소","콘텐츠 아이디","회차번호","회차수"
"ASP00001","S100120260121153259","202601169878864","국가전문자격","경비지도사 2차 경비업법(이태우)","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터90일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153259.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153259/01.mp4/playlist.m3u8","S100120260121153259","147557","1"
"ASP00001","S100120260121153229","202601161945535","마케팅/영업","고객을 끌어오는 SNS 마케팅","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153229.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153229/01.mp4/playlist.m3u8","S100120260121153229","144485","1"
"ASP00001","S100120260121153048","202601161698888","창업전략","망하지 않는 작은 식당 창업, 실전 준비 전략","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153048.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153048/01.mp4/playlist.m3u8","S100120260121153048","148171","1"
"ASP00001","S100120260121153496","202601167756943","인공지능","[HD]인공지능(AI) - 텍스트를 이미지로 만들어 주는 스테이블 디퓨전(Stable Diffusion) 배우기","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153496.png","","","https://mp.itgo.co.kr/mp4/M030613/01.mp4","S100120260121153496","144746","1"
"ASP00001","S100120260121153257","202601164539727","국가기술자격","[HD]컴퓨터활용능력 1급 실기 - 스프레드시트 실무 (2024 개정)","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터90일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153257.png","","","https://mp.itgo.co.kr/mp4/M030616/01.mp4","S100120260121153257","144951","1"
"ASP00001","S100120260121153408","202601167756943","인공지능","업무시간을 절반으로, ChatGPT로 시작하는 데이터 리터러시(2)","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153408.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153408/01.mp4/playlist.m3u8","S100120260121153408","144562","1"
"ASP00001","S100120260121153353","202601169878864","국가전문자격","[사회복지사:3교시] 사회복지행정론 (기출문제풀이) 2019~2025","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터90일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153353.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153353/01.mp4/playlist.m3u8","S100120260121153353","146443","1"
"ASP00001","S100120260121153140","202601169868422","리더십","일의 설계자들","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153140.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153140/01.mp4/playlist.m3u8","S100120260121153140","144230","1"
"ASP00001","S100120260121153474","202601163306402","사회/정치","[기업과 사회] 기업과 인간의 미래전략","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터30일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153474.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153474/01.mp4/playlist.m3u8","S100120260121153474","146379","1"
"ASP00001","S100120260121153262","20260116875800","영어","속시원한 토익펀치 LC 2","무료","1","N","01","2026.02.09~2026.12.31","수강신청일로부터90일","2026.02.04","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260121153262.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260121153262/01.mp4/playlist.m3u8","S100120260121153262","145999","1"
