교육명,교육목적내용,교육시작일,교육종료일,교육시간,교육요일,강의실정보내용,교육금액,재료금액,정원수,모집시작일,모집마감일,수강자격연령,수강자격성별,교육상태명,교육순번
2019년 7월 18일 5060취업준비교육,구직자 취업역량 강화를 통한 취업성공률 향상,2019-07-18T00:00:00,2019-07-18T00:00:00,09:30~12:30,목요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2019-06-12T00:00:00,2019-07-17T00:00:00,50세 ~ 64세,성별 제한없음,교육마감,1000001867
[청년] 2019년 7월 9일~11일 청년 집단상담 프로그램,미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2019-07-09T00:00:00,2019-07-11T00:00:00,13:00~17:00,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),15,2019-06-11T00:00:00,2019-07-08T00:00:00,20세 ~ 34세,성별 제한없음,교육마감,1000001866
2019년 7월 4일 4050취업준비교육 : 나에게 맞는 성공 재취업 TIP,,2019-07-04T00:00:00,2019-07-04T00:00:00,09:30~12:30,목요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2019-06-12T00:00:00,2019-07-02T00:00:00,40세 ~ 54세,성별 제한없음,교육마감,1000001868
2019년 6월 5060 취업심화교육 : 5060 신중년 재도약 마스터하기!,,2019-06-18T00:00:00,2019-06-20T00:00:00,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),13,2019-05-15T00:00:00,2019-06-17T00:00:00,50세 ~ 64세,성별 제한없음,교육마감,1000001856
6월 청년취업특강,구직자 취업역량 강화를 통한 취업성공률 향상,2019-06-04T00:00:00,2019-06-04T00:00:00,13:00~16:00,화요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),20,2019-05-14T00:00:00,2019-06-03T00:00:00,18세 ~ 34세,성별 제한없음,교육마감,1000001855
2019년 5월 23일 5060취업준비교육,구직자 취업역량 강화를 통한 취업성공률 향상,2019-05-23T00:00:00,2019-05-23T00:00:00,09:30~12:30,목요일,서울일자리센터(서울시청 무교로 청사),무료,(재료비 무료),20,2019-04-10T00:00:00,2019-05-22T00:00:00,50세 ~ 64세,성별 제한없음,교육마감,1000001842
[청년] 2019년 5월 14~16일 청년 집단상담 프로그램 : 취업스킬 uP uP!!,미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2019-05-14T00:00:00,2019-05-16T00:00:00,13:00~17:00,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),15,2019-04-11T00:00:00,2019-05-13T00:00:00,18세 ~ 34세,성별 제한없음,교육마감,1000001844
2019년 5월 9일 4050취업준비교육,구직자 취업역량 강화를 통한 취업성공률 향상,2019-05-09T00:00:00,2019-05-09T00:00:00,09:30~12:30,목요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2019-04-10T00:00:00,2019-05-08T00:00:00,40세 ~ 54세,성별 제한없음,교육마감,1000001841
5월 청년취업특강,구직자 취업역량 강화를 통한 취업성공률 향상,2019-05-02T00:00:00,2019-05-02T00:00:00,13:00~16:00,목요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),20,2019-04-11T00:00:00,2019-05-01T00:00:00,18세 ~ 34세,성별 제한없음,교육마감,1000001839
4월 청년모의면접,면접역량 강화를 통해 취업성공률을 높이고자 함,2019-04-25T00:00:00,2019-04-25T00:00:00,13:00~16:00,목요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),15,2019-03-25T00:00:00,2019-04-24T00:00:00,20세 ~ 34세,성별 제한없음,교육마감,1000001828
2019년 4월 5060 취업심화교육 : 내 일로 가는 길,,2019-04-16T00:00:00,2019-04-18T00:00:00,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),13,2019-03-15T00:00:00,2019-04-15T00:00:00,50세 ~ 64세,성별 제한없음,교육마감,1000001826
2019년 3월 4050취업심화교육 : 커리어회복탄력성으로 Restart!,중장년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2019-03-26T00:00:00,2019-03-28T00:00:00,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),13,2019-02-12T00:00:00,2019-03-25T00:00:00,40세 ~ 54세,성별 제한없음,교육마감,1000001816
[청년] 2019년 3월 19~21일 청년 집단상담 프로그램 : 취업예방접종하기,미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2019-03-19T00:00:00,2019-03-21T00:00:00,13:00~17:00,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),15,2019-02-12T00:00:00,2019-03-18T00:00:00,18세 ~ 34세,성별 제한없음,교육마감,1000001817
2019년 3월 14일 5060 토크취업특강,구직자 취업역량 강화를 통한 취업성공률 향상,2019-03-14T00:00:00,2019-03-14T00:00:00,09:30~12:30,목요일,서울일자리센터(서울시청 무교로 청사),무료,(재료비 무료),20,2019-02-12T00:00:00,2019-03-13T00:00:00,50세 ~ 64세,성별 제한없음,교육마감,1000001815
3월 청년취업특강,구직자 취업역량 강화를 통한 취업성공률 향상,2019-03-07T00:00:00,2019-03-07T00:00:00,13:00~16:00,목요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),20,2019-02-12T00:00:00,2019-03-06T00:00:00,18세 ~ 39세,성별 제한없음,교육마감,1000001813
2월 청년취업특강,구직자 취업역량 강화를 통한 취업성공률 향상,2019-02-26T00:00:00,2019-02-26T00:00:00,14:00~17:00,화요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),20,2019-01-22T00:00:00,2019-02-25T00:00:00,18세 ~ 34세,성별 제한없음,교육마감,1000001810
2019년 2월 21일 4050 토크취업특강(지원서 작성법 등),구직자 취업역량 강화를 통한 취업성공률 향상,2019-02-21T00:00:00,2019-02-21T00:00:00,09:30~12:30,목요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2019-01-23T00:00:00,2019-02-20T00:00:00,40세 ~ 54세,성별 제한없음,교육마감,1000001809
2019년 서울일자리센터 연간교육계획[게시용],,2019-02-01T00:00:00,2019-11-30T00:00:00,09:00~18:00,목요일,서울일자리센터 3층 취업교육팀,무료,(재료비 무료),20,2019-01-01T00:00:00,2019-01-31T00:00:00,,,교육마감,1000001805
2018년 11월 20~22일 청년 집단상담 프로그램,미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2018-11-20T00:00:00,2018-11-22T00:00:00,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),13,2018-10-22T00:00:00,2018-11-19T00:00:00,18세 ~ 35세,성별 제한없음,교육마감,1000001786
2018년 11월 15일 5060 취업준비교육(재진입지원),구직자 취업역량 강화를 통한 취업성공률 향상,2018-11-15T00:00:00,2018-11-15T00:00:00,09:30~12:30,목요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2018-10-10T00:00:00,2018-11-14T00:00:00,50세 ~ 65세,성별 제한없음,교육마감,1000001785
2018년 11월 1일 5060 토크취업특강,,2018-11-01T00:00:00,2018-11-01T00:00:00,10:00~12:00,목요일,서울일자리센터(서울시청 무교로 청사),무료,(재료비 무료),20,2018-10-10T00:00:00,2018-10-31T00:00:00,50세 ~ 65세,성별 제한없음,교육마감,1000001784
2018년 10월 청년 면접역량 강화를 위한  모의면접,면접역량 강화를 통해 취업성공률을 높이고자 함,2018-10-30T00:00:00,2018-10-30T00:00:00,14:00~17:00,화요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),10,2018-10-18T00:00:00,2018-10-26T00:00:00,20세 ~ 35세,성별 제한없음,교육마감,1000001778
