"조서관리코드","프로젝트코드","지자체","조서유형(구분)","이전 조서관리코드","최상위 조서관리코드","대분류","중분류","소분류","위치명","지역명","면적기정","면적증감코드","면적변경","면적변경후","결정고시관리코드"
"11000UTZ200010141292","11000PPL200010149929","서울특별시","변경","11000AGZ199812311095","11000UTZ199812311095","지구단위계획구역","","","영등포구 문래동3가 53, 54-62","방림3블럭 특별계획구역","16946","","","17110","11000NTC200010149929"
"11000UTZ200809293685","11000PPL200802281819","서울특별시","변경","11000UTZ200801213659","11000UTZ200801213659","특별계획구역","","","한강로3가 63-379대","용산지구단위계획구역","4963.7","","","4963.7","11000NTC200802281819"
"11000UTZ200809293685","11000PPL200802281819","서울특별시","변경","11000UTZ200801213659","11000UTZ200801213659","특별계획구역","","","한강로3가 63-379대","용산지구단위계획구역","4963.7","","","4963.7","11000NTC200802281819"
"11000UTZ201012073899","11000PPL201012025672","서울특별시","변경","11000UTZ200601203597","11000UTZ200601203597","특별계획구역","","","강동구 고덕1동 501번지 일원","","125632.5","2","1.9","125630.6","11000NTC201012025672"
"11740UTZ202007070002","11740PPL202007070002","서울특별시","폐지","11000UTZ201012073899","","특별계획구역","","","고덕동 501번지 일대","","125632.5","2","125632.5","0","11000NTC202007070002"
"11740UTZ202007070002","11740PPL202007070002","서울특별시","폐지","11000UTZ201012073899","","특별계획구역","","","고덕동 501번지 일대","","125632.5","2","125632.5","0","11000NTC202007070002"
"11740UTZ202007070002","11740PPL202007070002","서울특별시","폐지","11000UTZ201012073899","","특별계획구역","","","고덕동 501번지 일대","","125632.5","2","125632.5","0","11000NTC202007070002"
"11000UTZ200206276163","11000PPL200206272776","서울특별시","신설","","11000UTZ200206276163","특별계획구역","","","영등포동 4가 426-7번지 일대","","","","","3385","11000NTC200206272776"
"11000UTZ201808160117","11000PPL201801293158","서울특별시","폐지","11000UTZ201707184413","11000UTZ201707184413","특별계획구역","","","중랑구 망우동 564-10 일대","","3705.4","2","3705.4","","11000NTC201801293158"
"11000UTZ201804274465","11000PPL201804058401","서울특별시","변경","11000UTZ201107073974","11000UTZ201107073974","특별계획구역","","","용산구 한강로 3가 40-19번지 일대","용산지구단위계획구역","6974","2","1169","5805","11000NTC201804058401"
